"","other","Label","count","total","percentage"
"1","deep","Algae",186,880,21.1363636363636
"2","deep","HS",180,880,20.4545454545455
"3","deep","D_coral",143,880,16.25
"4","deep","Unk",129,880,14.6590909090909
"5","deep","Sediment",90,880,10.2272727272727
"6","deep","HC_encr",46,880,5.22727272727273
"7","deep","CCA",36,880,4.09090909090909
"8","deep","HC_branch",35,880,3.97727272727273
"9","deep","HC_massive",19,880,2.15909090909091
"10","deep","Other Inv",10,880,1.13636363636364
"11","deep","HC_fol",4,880,0.454545454545455
"12","deep","HC_column",2,880,0.227272727272727
"13","shallow","D_coral",307,880,34.8863636363636
"14","shallow","HC_branch",137,880,15.5681818181818
"15","shallow","Unk",109,880,12.3863636363636
"16","shallow","HS",87,880,9.88636363636364
"17","shallow","CCA",66,880,7.5
"18","shallow","HC_encr",61,880,6.93181818181818
"19","shallow","HC_massive",48,880,5.45454545454545
"20","shallow","Sediment",48,880,5.45454545454545
"21","shallow","Algae",7,880,0.795454545454545
"22","shallow","Other Inv",7,880,0.795454545454545
"23","shallow","HC_fol",3,880,0.340909090909091
